tool.ID,package.manager,number.citations.per.year,executed.commands,commands.manual,undoc.commands,Automatic.instalation.test,instalation.time,easy.flag,example.provided
ID1,Other,0.29,7,2,0.7,Fail,5,Not.installed,Y
ID2,Github,0.67,5,3,0.4,Fail,30,Not.installed,Y
ID3,BitBucket,0.71,7,4,0.4,Fail,30,Complex,Y
ID4,Other,1,2,2,0,Pass,15,Easy,Y
ID5,Bioconductor,1,1,1,0,Pass,5,Easy,Y
ID6,Other,1.33,2,2,0,Pass,5,Easy,Y
ID7,Github,1.33,3,3,0,Pass,5,Easy,Y
ID8,Other,1.33,1,1,0,Pass,5,Easy,N
ID9,Other,1.38,N/A,N/A,N/A,N/A,5,Not.installed,N
ID10,Github,1.5,1,1,0,Pass,15,Easy,N
ID11,SourceForge,1.6,5,N/A,N/A,N/A,30,Complex,N
ID12,Github,1.67,1,1,0,Pass,5,Easy,Y
ID13,Other,1.67,3,3,0,Pass,5,Easy,N
ID14,Other,1.71,4,4,0,Pass,30,Not.installed,Y
ID15,SourceForge,1.83,1,1,0,Pass,15,Not.installed,Y
ID16,Other,2,2,2,0,Pass,5,Easy,N
ID17,Github,2.25,12,12,0,Pass,120,Complex,Y
ID18,Other,2.43,2,N/A,N/A,N/A,5,Easy,N
ID19,Other,2.5,7,7,0,Pass,15,Not.installed,Y
ID20,Other,2.6,11,4,0.6,Fail,15,Not.installed,Y
ID21,Other,2.67,3,3,0,Pass,15,Easy,Y
ID22,Github,2.75,7,7,0,Pass,15,Easy,Y
ID23,SourceForge,3,4,4,0,Fail,120,Not.installed,Y
ID24,Other,3,10,10,0,Pass,30,Not.installed,Y
ID25,Other,3,6,6,0,Pass,15,Easy,Y
ID26,Github,3,7,7,0,Pass,15,Easy,N
ID27,Github,3,9,9,0,Pass,5,Easy,Y
ID28,Other,3.2,5,3,0.4,Fail,30,Complex,Y
ID29,Other,3.25,5,4,0.2,Fail,15,Easy,Y
ID30,Github,3.25,1,1,0,Pass,5,Easy,Y
ID31,Other,3.33,N/A,N/A,N/A,Fail,120,Not.installed,Y
ID32,Github,3.33,6,6,0,Fail,120,Not.installed,Y
ID33,Github,3.75,3,2,0.3,Fail,5,Easy,N
ID34,Other,4.33,4,N/A,N/A,N/A,120,Not.installed,N
ID35,Github,4.5,N/A,6,N/A,Fail,120,Not.installed,N
ID36,Other,4.67,1,1,0,Pass,5,Easy,N
ID37,Other,5.11,N/A,N/A,N/A,Fail,120,Not.installed,N
ID38,Bioconda,5.14,1,1,0,Pass,5,Easy,Y
ID39,Github,5.75,4,3,0.3,Fail,120,Complex,N
ID40,Other,6.83,22,4,0.8,Fail,30,Complex,Y
ID41,Other,7,N/A,N/A,N/A,Fail,120,Not.installed,N
ID42,Other,7.17,2,1,0.5,Fail,15,Easy,N
ID43,Other,7.25,N/A,3,N/A,Fail,120,Not.installed,N
ID44,Other,8,4,3,0.3,Fail,15,Easy,Y
ID45,SourceForge,8,1,1,0,Pass,5,Easy,N
ID46,Other,8.9,14,14,0,Fail,120,Not.installed,Y
ID47,Other,9.56,N/A,N/A,N/A,Fail,120,Not.installed,Y
ID48,Bioconda,9.71,1,1,0,Pass,15,Easy,N
ID49,Other,9.8,N/A,1,N/A,Fail,120,Not.installed,Y
ID50,Other,10.43,N/A,N/A,N/A,N/A,120,Complex,Y
ID51,SourceForge,10.56,N/A,N/A,N/A,N/A,5,Easy,N
ID52,Other,12.17,1,1,0,Pass,5,Easy,Y
ID53,SourceForge,12.25,N/A,N/A,N/A,N/A,5,Easy,N
ID54,Other,12.75,4,4,0,Pass,15,Easy,Y
ID55,SourceForge,13.29,1,1,0,Pass,120,Not.installed,N
ID56,Other,13.33,5,5,0,Pass,15,Easy,Y
ID57,Github,13.75,5,N/A,N/A,N/A,30,Complex,N
ID58,Bioconda,13.83,1,1,0,Pass,5,Easy,Y
ID59,Other,14.7,13,13,0,Pass,15,Easy,Y
ID60,Other,15.1,4,2,0.5,Fail,120,Complex,Y
ID61,Other,15.3,1,1,0,Pass,5,Easy,Y
ID62,Other,15.63,52,N/A,N/A,N/A,120,Complex,N
ID63,SourceForge,16,2,N/A,N/A,N/A,5,Easy,N
ID64,Github,16.25,8,6,0.3,Fail,60,Complex,Y
ID65,Other,16.29,1,1,0,Pass,5,Easy,Y
