id,package.manager,number.citations.per.year,executed.commands,commands.manual,undoc.commands,Automatic.instalation.test,instalation.time,easy.flag,example.provided
ID1,Bioconda,5.14,1,1,0,Pass,5,Easy,Y
ID2,Bioconda,9.71,1,1,0,Pass,15,Easy,N
ID3,Bioconda,13.83,1,1,0,Pass,5,Easy,Y
ID4,Bioconda,57.2,1,1,0,Pass,5,Easy,Y
ID5,Bioconda,60.3,1,1,0,Pass,5,Easy,Y
ID6,Bioconda,124,1,1,0,Pass,5,Easy,Y
ID7,Bioconda,163.2,1,1,0,Pass,5,Easy,Y
ID8,Bioconda,247.4,1,1,0,Pass,5,Easy,Y
ID9,Bioconda,1122.6,1,1,0,Pass,5,Easy,Y
ID10,Bioconda,1450.9,3,3,0,Pass,5,Complex,Y
ID11,Bioconductor,1,1,1,0,Pass,5,Easy,Y
ID12,Bioconductor,26.57,2,1,0.5,Fail,5,Easy,N
ID13,Bioconductor,36,23,2,0.9,Fail,120,Complex,Y
ID14,Bioconductor,57.83,2,2,0,Pass,5,Easy,Y
ID15,Bioconductor,159,20,2,0.9,Fail,60,Complex,Y
ID16,NA,0.71,7,4,0.4,Fail,30,Complex,Y
ID17,NA,36.25,30,10,0.7,Fail,120,Complex,Y
ID18,NA,0.67,5,3,0.4,Fail,30,Not.installed,Y
ID19,NA,1.33,3,3,0,Pass,5,Easy,Y
ID20,NA,1.5,1,1,0,Pass,15,Easy,N
ID21,NA,1.67,1,1,0,Pass,5,Easy,Y
ID22,NA,2.25,12,12,0,Pass,120,Complex,Y
ID23,NA,2.75,7,7,0,Pass,15,Easy,Y
ID24,NA,3,7,7,0,Pass,15,Easy,N
ID25,NA,3,9,9,0,Pass,5,Easy,Y
ID26,NA,3.25,1,1,0,Pass,5,Easy,Y
ID27,NA,3.33,6,6,0,Fail,120,Not.installed,Y
ID28,NA,3.75,3,2,0.3,Fail,5,Easy,N
ID29,NA,4.5,N/A,6,N/A,Fail,120,Not.installed,N
ID30,NA,5.75,4,3,0.3,Fail,120,Complex,N
ID31,NA,13.75,5,N/A,N/A,N/A,30,Complex,N
ID32,NA,16.25,8,6,0.3,Fail,60,Complex,Y
ID33,NA,16.89,10,3,0.7,Fail,120,Not.installed,Y
ID34,NA,75.71,1,1,0,Pass,5,Easy,N
ID35,NA,216.33,12,3,0.8,Fail,30,Complex,Y
ID36,NA,798.4,3,2,0.3,Fail,5,Easy,Y
ID37,NA,0.29,7,2,0.7,Fail,5,Not.installed,Y
ID38,NA,1,2,2,0,Pass,15,Easy,Y
ID39,NA,1.33,2,2,0,Pass,5,Easy,Y
ID40,NA,1.33,1,1,0,Pass,5,Easy,N
ID41,NA,1.38,N/A,N/A,N/A,N/A,5,Not.installed,N
ID42,NA,1.67,3,3,0,Pass,5,Easy,N
ID43,NA,1.71,4,4,0,Pass,30,Not.installed,Y
ID44,NA,2,2,2,0,Pass,5,Easy,N
ID45,NA,2.43,2,N/A,N/A,N/A,5,Easy,N
ID46,NA,2.5,7,7,0,Pass,15,Not.installed,Y
ID47,NA,2.6,11,4,0.6,Fail,15,Not.installed,Y
ID48,NA,2.67,3,3,0,Pass,15,Easy,Y
ID49,NA,3,10,10,0,Pass,30,Not.installed,Y
ID50,NA,3,6,6,0,Pass,15,Easy,Y
ID51,NA,3.2,5,3,0.4,Fail,30,Complex,Y
ID52,NA,3.25,5,4,0.2,Fail,15,Easy,Y
