,Source ,Normalized citations,Commands,Commands Listed,Time To Install,Difficulty Status,Example Provided
1,Bioconda,1122.6,1,1,5,2,Y
2,Bioconda,13.83333333,1,1,5,2,Y
3,Bioconda,5.142857143,1,1,5,2,Y
4,Bioconda,163.2,1,1,5,2,Y
5,Bioconda,247.4,1,1,15,2,Y
6,Bioconda,57.2,1,1,5,2,Y
7,Bioconda,60.3,1,1,5,2,Y
8,N/A,33.45454545,3,3,5,2,Y
9,N/A,6.833333333,22,4,30,1,Y
10,Bioconda,124,1,1,30,1,Y
11,N/A,1059,10,7,60,1,Y
12,Bioconductor,159,20,2,60,1,Y
13,pip,73.16666667,12,10,60,1,Y
14,BitBucket,36.25,30,10,120,1,Y
15,Bioconductor,57.83333333,2,2,5,2,Y
16,Github,798.4,3,2,5,2,Y
17,Bioconductor,36,23,2,120,1,Y
18,N/A,683.1111111,2,2,5,2,Y
19,Github,216.3333333,12,3,30,1,Y
20,Github,16.25,8,6,60,1,Y
21,N/A,14.7,13,13,15,2,Y
22,SourceForge,22.71428571,190,7,120,0,Y
24,N/A,169.2222222,2,2,5,2,Y
25,N/A,15.625,52,N/A,120,1,N
26,BitBucket,0.714285714,7,4,30,1,Y
27,N/A,39.1,12,12,15,2,Y
28,N/A,12.75,4,4,15,2,Y
29,N/A,1.714285714,4,4,30,0,Y
30,N/A,1,2,2,15,2,Y
31,N/A,0.285714286,7,2,5,0,Y
32,N/A,2.6,11,4,15,0,Y
33,N/A,13.33333333,5,5,15,2,Y
34,N/A,3.2,5,3,30,1,Y
35,N/A,8,4,3,15,2,Y
36,N/A,2.5,7,7,15,0,Y
37,N/A,3,6,6,15,2,Y
38,N/A,3.25,5,4,15,2,Y
39,N/A,3,10,10,30,0,Y
40,N/A,2.666666667,3,3,15,2,Y
41,N/A,1.333333333,2,2,5,2,Y
42,N/A,124.1,1,1,5,2,N
43,N/A,15.3,1,1,5,2,Y
44,N/A,7.166666667,2,1,15,2,N
45,SourceForge,1.833333333,1,N/A,15,0,Y
46,Github,1.5,1,1,15,2,N
47,Github,1.333333333,3,3,5,2,Y
48,Github,2.75,7,7,15,2,Y
49,Github,3,7,7,15,2,N
50,Bioconductor,1,1,1,5,2,Y
51,Github,0.666666667,5,3,30,0,Y
52,N/A,39,N/A,N/A,5,2,Y
53,Bioconductor,26.57142857,2,1,5,2,N
54,N/A,43,5,1,120,1,Y
55,SourceForge,8,1,1,5,2,N
56,SourceForge,16,2,N/A,5,2,N
57,N/A,4.666666667,1,1,5,2,N
58,Github,13.75,5,N/A,30,1,N
59,N/A,2.428571429,2,N/A,5,2,N
60,SourceForge,1.6,5,N/A,30,1,N
61,Github,1.666666667,1,1,5,2,Y
62,Github,5.75,4,3,120,1,N
63,Github,1450.9,3,3,5,2,Y
64,N/A,30.75,7,3,120,1,Y
65,Github,3.75,3,2,5,2,N
66,N/A,1.333333333,1,1,5,2,N
67,N/A,24,4,N/A,120,0,N
68,N/A,15.1,4,2,120,1,Y
69,N/A,4.333333333,4,N/A,120,0,N
70,SourceForge,13.28571429,1,1,120,0,N
71,N/A,16.28571429,1,1,5,2,Y
72,N/A,9.555555556,N/A,N/A,120,0,Y
73,N/A,7.25,N/A,3,120,0,N
74,N/A,5.111111111,N/A,N/A,120,0,N
75,N/A,9.8,N/A,1,120,0,Y
76,N/A,7,N/A,N/A,120,0,N
77,Github,4.5,N/A,6,120,0,N
78,SourceForge,3,9,9,120,0,Y
79,N/A,47.125,N/A,2,5,0,N
80,N/A,1.375,N/A,N/A,5,0,N
81,N/A,3.333333333,N/A,N/A,120,0,Y
82,Github,3.333333333,6,6,120,0,Y
83,N/A,8.9,14,14,120,0,Y
84,N/A,23.6,N/A,N/A,30,0,Y
85,N/A,24.2,N/A,7,120,0,Y
86,N/A,28.5,N/A,29,120,0,N
87,SourceForge,10.55555556,N/A,N/A,5,2,N
88,SourceForge,12.25,N/A,N/A,5,2,N
89,N/A,10.42857143,N/A,N/A,120,1,Y
90,N/A,12.16666667,1,1,5,2,Y
91,N/A,2,2,2,5,2,N
92,Github,2.25,12,12,120,1,Y
93,N/A,1.666666667,3,3,5,2,N
94,Github,3.25,1,1,5,2,Y
95,Github,16.88888889,10,3,120,0,Y
96,BitBucket,9.714285714,3,3,120,1,N
97,SourceForge,76.3,1,1,5,2,Y
98,Github,3,9,9,5,2,Y
99,Github,75.71428571,1,1,5,2,N
